center x,center y,center z,number,O1 num1,O1 num2,O1 num3,O1 num4
56.224000000000004,45.68075,18.2155,1,1,17,33,57
52.243750000000006,43.32175,30.561500000000002,2,1,21,46,62
75.27375,56.684009093453525,11.7745,3,3,20,44,1721
64.30425000000001,59.32026818690706,18.22175,4,3,57,551,915
87.03025000000001,36.50875,11.75325,5,4,14,40,1831
95.32925,45.707499999999996,17.90925,6,4,58,687,765
63.57575,23.25325,30.702749999999998,7,5,13,43,66
56.24275,32.3395,36.930749999999996,8,5,21,25,59
67.78575000000001,25.852000000000004,18.1495,9,9,13,29,61
63.6605,36.653000000000006,11.83,10,9,17,36,65
82.7335,25.6635,18.232,11,11,14,61,817
86.78125,23.20525,30.68425,12,11,16,38,1753
95.036,32.415,36.80475,13,16,56,141,999
87.36525,59.37351818690706,17.96025,14,20,58,239,785
26.56125,15.213750000000001,10.5385,15,24,28,32,49
45.04075,25.899250000000002,40.8605,16,25,30,35,48
45.1205,47.4065,10.843,17,26,31,33,51
63.62925,15.282,10.723499999999998,18,27,29,34,50
74.86449999999999,43.14125,7.694,19,36,40,44,53
93.56800000000001,53.8,38.030499999999996,20,37,42,47,52
87.64,50.51000909345353,50.824733859123725,21,37,341,575,1771
74.94624999999999,21.73625,38.302,22,38,43,45,55
56.53225,53.621750000000006,38.21125000000001,23,39,41,46,54
64.4945,64.5975272803606,30.808,24,39,291,551,1747
64.62725,50.104009093453534,50.82573385912373,25,41,263,393,1823
87.54175000000001,64.6222772803606,30.5475,26,42,239,473,1799
75.86475,30.588009093453532,50.854733859123726,27,45,81,653,1719
99.88350000000001,43.3395,30.535249999999998,28,47,141,687,1701
13.714999999999993,7.752154542061957,5.336338713625425,29,49,1328,1372,1404
106.36325,61.22284545793804,43.43791128637457,30,52,1459,1493,1513
87.578,37.129509093453535,50.59848385912372,31,56,81,575,965
64.60975,37.15825909345353,50.41298385912373,32,59,263,653,705
76.06425,66.61502728036061,36.99575,33,60,291,473,863
76.11325000000001,57.23375909345353,50.61273385912372,34,60,341,393,887
