,center x,center y,center z,number,O1 num1,O1 num2,O1 num3,O1 num4
0,56.224,45.68075,18.2155,1.0,1.0,17.0,33.0,57.0
1,52.243750000000006,43.32175,30.5615,2.0,1.0,21.0,46.0,62.0
2,75.27375,56.684009093453525,11.7745,3.0,3.0,20.0,44.0,1721.0
3,64.30425000000001,59.32026818690706,18.22175,4.0,3.0,57.0,551.0,915.0
4,87.03025000000001,36.50875,11.75325,5.0,4.0,14.0,40.0,1831.0
5,95.32925,45.7075,17.90925,6.0,4.0,58.0,687.0,765.0
6,63.57575,23.25325,30.70275,7.0,5.0,13.0,43.0,66.0
7,56.24275,32.3395,36.93075,8.0,5.0,21.0,25.0,59.0
8,67.78575000000001,25.852000000000004,18.1495,9.0,9.0,13.0,29.0,61.0
9,63.6605,36.653000000000006,11.83,10.0,9.0,17.0,36.0,65.0
10,82.7335,25.6635,18.232,11.0,11.0,14.0,61.0,817.0
11,86.78125,23.20525,30.68425,12.0,11.0,16.0,38.0,1753.0
12,95.036,32.415,36.80475,13.0,16.0,56.0,141.0,999.0
13,87.36525,59.37351818690706,17.96025,14.0,20.0,58.0,239.0,785.0
14,26.56125,15.21375,10.5385,15.0,24.0,28.0,32.0,49.0
15,45.04075,25.89925,40.8605,16.0,25.0,30.0,35.0,48.0
16,45.1205,47.4065,10.843,17.0,26.0,31.0,33.0,51.0
17,63.62925,15.282,10.723499999999998,18.0,27.0,29.0,34.0,50.0
18,74.86449999999999,43.14125,7.694,19.0,36.0,40.0,44.0,53.0
19,93.568,53.8,38.0305,20.0,37.0,42.0,47.0,52.0
20,87.64,50.51000909345353,50.824733859123725,21.0,37.0,341.0,575.0,1771.0
21,74.94624999999999,21.73625,38.302,22.0,38.0,43.0,45.0,55.0
22,56.53225,53.621750000000006,38.21125000000001,23.0,39.0,41.0,46.0,54.0
23,64.4945,64.5975272803606,30.808,24.0,39.0,291.0,551.0,1747.0
24,64.62725,50.104009093453534,50.82573385912373,25.0,41.0,263.0,393.0,1823.0
25,87.54175000000001,64.6222772803606,30.5475,26.0,42.0,239.0,473.0,1799.0
26,75.86475,30.58800909345353,50.854733859123726,27.0,45.0,81.0,653.0,1719.0
27,99.8835,43.3395,30.53525,28.0,47.0,141.0,687.0,1701.0
28,13.714999999999993,7.752154542061957,5.336338713625425,29.0,49.0,1328.0,1372.0,1404.0
29,106.36325,61.22284545793804,43.43791128637457,30.0,52.0,1459.0,1493.0,1513.0
30,87.578,37.129509093453535,50.59848385912372,31.0,56.0,81.0,575.0,965.0
31,64.60975,37.15825909345353,50.41298385912373,32.0,59.0,263.0,653.0,705.0
32,76.06425,66.61502728036061,36.99575,33.0,60.0,291.0,473.0,863.0
33,76.11325000000001,57.23375909345353,50.61273385912372,34.0,60.0,341.0,393.0,887.0
0,24.803999999999988,-8.740286373814122,18.2155,1.0,1.0,17.0,33.0,57.0
0,56.224,9.400059084123924,69.5241451454983,1.0,1.0,17.0,33.0,57.0
0,87.644,63.82109545793804,69.5241451454983,1.0,1.0,17.0,33.0,57.0
1,20.823749999999997,-11.099286373814124,30.5615,2.0,1.0,21.0,46.0,62.0
2,43.85375,2.2629727196394,11.7745,3.0,3.0,20.0,44.0,1721.0
2,75.27375,20.403318177577447,63.08314514549831,3.0,3.0,20.0,44.0,1721.0
2,106.69375000000002,74.82435455139156,63.08314514549831,3.0,3.0,20.0,44.0,1721.0
3,32.88425,4.899231813092932,18.22175,4.0,3.0,57.0,551.0,915.0
3,64.30425000000001,23.03957727103098,69.5303951454983,4.0,3.0,57.0,551.0,915.0
3,95.72425000000001,77.4606136448451,69.5303951454983,4.0,3.0,57.0,551.0,915.0
4,-7.22975000000001,-17.912286373814126,11.75325,5.0,4.0,14.0,40.0,1831.0
4,24.190250000000006,0.22805908412392029,63.061895145498305,5.0,4.0,14.0,40.0,1831.0
4,24.190250000000006,36.50875,11.75325,5.0,4.0,14.0,40.0,1831.0
4,55.610250000000015,54.649095457938046,63.061895145498305,5.0,4.0,14.0,40.0,1831.0
4,55.61025,-17.912286373814126,11.75325,5.0,4.0,14.0,40.0,1831.0
4,87.03025000000001,0.22805908412392029,63.061895145498305,5.0,4.0,14.0,40.0,1831.0
4,118.45025000000001,54.649095457938046,63.061895145498305,5.0,4.0,14.0,40.0,1831.0
5,1.0692499999999825,-8.713536373814122,17.90925,6.0,4.0,58.0,687.0,765.0
5,32.48925,9.426809084123924,69.2178951454983,6.0,4.0,58.0,687.0,765.0
5,32.48925,45.7075,17.90925,6.0,4.0,58.0,687.0,765.0
5,63.90925000000001,63.84784545793805,69.2178951454983,6.0,4.0,58.0,687.0,765.0
5,63.90924999999999,-8.713536373814122,17.90925,6.0,4.0,58.0,687.0,765.0
5,95.32925,9.426809084123924,69.2178951454983,6.0,4.0,58.0,687.0,765.0
5,126.74925000000002,63.84784545793805,69.2178951454983,6.0,4.0,58.0,687.0,765.0
6,32.15574999999999,-31.167786373814124,30.70275,7.0,5.0,13.0,43.0,66.0
7,-6.597250000000017,-40.22188183175217,-14.3778951454983,8.0,5.0,21.0,25.0,59.0
7,24.822749999999992,-22.081536373814124,36.93075,8.0,5.0,21.0,25.0,59.0
7,24.822749999999992,14.199154542061958,-14.3778951454983,8.0,5.0,21.0,25.0,59.0
8,-26.474250000000012,-28.56903637381412,18.1495,9.0,9.0,13.0,29.0,61.0
8,4.945750000000004,-10.428690915876075,69.4581451454983,9.0,9.0,13.0,29.0,61.0
8,4.945750000000004,25.852000000000004,18.1495,9.0,9.0,13.0,29.0,61.0
8,36.36575000000001,43.99234545793804,69.4581451454983,9.0,9.0,13.0,29.0,61.0
8,36.36575,-28.56903637381412,18.1495,9.0,9.0,13.0,29.0,61.0
8,67.78575000000001,-10.428690915876075,69.4581451454983,9.0,9.0,13.0,29.0,61.0
8,99.20575000000002,43.99234545793804,69.4581451454983,9.0,9.0,13.0,29.0,61.0
9,32.24049999999999,-17.76803637381412,11.83,10.0,9.0,17.0,36.0,65.0
9,63.6605,0.37230908412392694,63.1386451454983,10.0,9.0,17.0,36.0,65.0
9,95.0805,54.793345457938045,63.1386451454983,10.0,9.0,17.0,36.0,65.0
10,-11.526500000000013,-28.757536373814126,18.232,11.0,11.0,14.0,61.0,817.0
10,19.893500000000003,-10.61719091587608,69.5406451454983,11.0,11.0,14.0,61.0,817.0
10,19.893500000000003,25.6635,18.232,11.0,11.0,14.0,61.0,817.0
10,51.31350000000001,43.80384545793804,69.5406451454983,11.0,11.0,14.0,61.0,817.0
10,51.3135,-28.757536373814126,18.232,11.0,11.0,14.0,61.0,817.0
10,82.7335,-10.61719091587608,69.5406451454983,11.0,11.0,14.0,61.0,817.0
10,114.15350000000001,43.80384545793804,69.5406451454983,11.0,11.0,14.0,61.0,817.0
11,-7.478750000000019,-31.215786373814126,30.68425,12.0,11.0,16.0,38.0,1753.0
11,23.941249999999997,23.20525,30.68425,12.0,11.0,16.0,38.0,1753.0
11,55.36124999999999,-31.215786373814126,30.68425,12.0,11.0,16.0,38.0,1753.0
12,-30.64400000000002,-40.14638183175217,-14.503895145498305,13.0,16.0,56.0,141.0,999.0
12,0.775999999999982,-22.006036373814126,36.80475,13.0,16.0,56.0,141.0,999.0
12,0.775999999999982,14.274654542061956,-14.503895145498305,13.0,16.0,56.0,141.0,999.0
12,32.196,32.415,36.80475,13.0,16.0,56.0,141.0,999.0
12,32.195999999999984,-40.14638183175217,-14.503895145498305,13.0,16.0,56.0,141.0,999.0
12,63.61599999999999,-22.006036373814126,36.80475,13.0,16.0,56.0,141.0,999.0
12,63.61599999999999,14.274654542061956,-14.503895145498305,13.0,16.0,56.0,141.0,999.0
13,-6.894750000000016,4.952481813092938,17.96025,14.0,20.0,58.0,239.0,785.0
13,24.52525,23.092827271030984,69.2688951454983,14.0,20.0,58.0,239.0,785.0
13,24.52525,59.37351818690706,17.96025,14.0,20.0,58.0,239.0,785.0
13,55.94525000000001,77.5138636448451,69.2688951454983,14.0,20.0,58.0,239.0,785.0
13,55.945249999999994,4.952481813092938,17.96025,14.0,20.0,58.0,239.0,785.0
13,87.36525,23.092827271030984,69.2688951454983,14.0,20.0,58.0,239.0,785.0
13,118.78525000000002,77.5138636448451,69.2688951454983,14.0,20.0,58.0,239.0,785.0
14,-4.858750000000008,-39.20728637381413,10.5385,15.0,24.0,28.0,32.0,49.0
14,26.56125,-21.06694091587608,61.8471451454983,15.0,24.0,28.0,32.0,49.0
14,57.98125000000001,33.354095457938044,61.8471451454983,15.0,24.0,28.0,32.0,49.0
15,-17.799250000000015,-46.66213183175218,-10.448145145498302,16.0,25.0,30.0,35.0,48.0
15,13.620749999999994,-28.521786373814127,40.8605,16.0,25.0,30.0,35.0,48.0
15,13.620749999999994,7.758904542061956,-10.448145145498302,16.0,25.0,30.0,35.0,48.0
16,13.700499999999991,-7.014536373814124,10.843,17.0,26.0,31.0,33.0,51.0
16,45.1205,11.125809084123922,62.15164514549831,17.0,26.0,31.0,33.0,51.0
16,76.54050000000001,65.54684545793805,62.15164514549831,17.0,26.0,31.0,33.0,51.0
17,-30.63075000000002,-39.13903637381412,10.723499999999998,18.0,27.0,29.0,34.0,50.0
17,0.7892499999999956,-20.99869091587608,62.032145145498305,18.0,27.0,29.0,34.0,50.0
17,0.7892499999999956,15.282,10.723499999999998,18.0,27.0,29.0,34.0,50.0
17,32.209250000000004,33.42234545793804,62.032145145498305,18.0,27.0,29.0,34.0,50.0
17,32.20924999999999,-39.13903637381412,10.723499999999998,18.0,27.0,29.0,34.0,50.0
17,63.62925,-20.99869091587608,62.032145145498305,18.0,27.0,29.0,34.0,50.0
17,95.04925,33.42234545793804,62.032145145498305,18.0,27.0,29.0,34.0,50.0
18,-19.395500000000027,-11.279786373814126,7.694,19.0,36.0,40.0,44.0,53.0
18,12.024499999999989,6.860559084123921,59.002645145498306,19.0,36.0,40.0,44.0,53.0
18,12.024499999999989,43.14125,7.694,19.0,36.0,40.0,44.0,53.0
18,43.4445,61.28159545793804,59.002645145498306,19.0,36.0,40.0,44.0,53.0
18,43.444499999999984,-11.279786373814126,7.694,19.0,36.0,40.0,44.0,53.0
18,74.86449999999999,6.860559084123921,59.002645145498306,19.0,36.0,40.0,44.0,53.0
18,106.28450000000001,61.28159545793804,59.002645145498306,19.0,36.0,40.0,44.0,53.0
19,-32.11200000000002,-18.761381831752175,-13.2781451454983,20.0,37.0,42.0,47.0,52.0
19,-0.6920000000000215,-0.6210363738141282,38.0305,20.0,37.0,42.0,47.0,52.0
19,-0.6920000000000215,35.65965454206196,-13.2781451454983,20.0,37.0,42.0,47.0,52.0
19,30.727999999999994,53.8,38.0305,20.0,37.0,42.0,47.0,52.0
19,30.72799999999998,-18.761381831752175,-13.2781451454983,20.0,37.0,42.0,47.0,52.0
19,62.14799999999999,-0.6210363738141282,38.0305,20.0,37.0,42.0,47.0,52.0
19,62.14799999999999,35.65965454206196,-13.2781451454983,20.0,37.0,42.0,47.0,52.0
20,24.799999999999983,-22.05137273829864,-0.48391128637457825,21.0,37.0,341.0,575.0,1771.0
20,56.21999999999999,-3.9110272803605923,50.824733859123725,21.0,37.0,341.0,575.0,1771.0
20,56.21999999999999,32.369663635515494,-0.48391128637457825,21.0,37.0,341.0,575.0,1771.0
21,-50.73375000000003,-50.825131831752174,-13.006645145498304,22.0,38.0,43.0,45.0,55.0
21,-19.313750000000027,-32.68478637381413,38.302,22.0,38.0,43.0,45.0,55.0
21,-19.313750000000027,3.5959045420619553,-13.006645145498304,22.0,38.0,43.0,45.0,55.0
21,12.106249999999989,21.73625,38.302,22.0,38.0,43.0,45.0,55.0
21,12.106249999999974,-50.825131831752174,-13.006645145498304,22.0,38.0,43.0,45.0,55.0
21,43.52624999999998,-32.68478637381413,38.302,22.0,38.0,43.0,45.0,55.0
21,43.52624999999998,3.5959045420619553,-13.006645145498304,22.0,38.0,43.0,45.0,55.0
22,-6.30775000000002,-18.939631831752166,-13.097395145498297,23.0,39.0,41.0,46.0,54.0
22,25.11224999999999,-0.7992863738141196,38.21125000000001,23.0,39.0,41.0,46.0,54.0
22,25.11224999999999,35.481404542061966,-13.097395145498297,23.0,39.0,41.0,46.0,54.0
23,33.07449999999999,10.17649090654647,30.808,24.0,39.0,291.0,551.0,1747.0
24,1.787249999999986,-22.457372738298638,-0.4829112863745735,25.0,41.0,263.0,393.0,1823.0
24,33.207249999999995,-4.317027280360591,50.82573385912373,25.0,41.0,263.0,393.0,1823.0
24,33.207249999999995,31.96366363551549,-0.4829112863745735,25.0,41.0,263.0,393.0,1823.0
25,56.12175,10.20124090654648,30.5475,26.0,42.0,239.0,473.0,1799.0
26,13.024749999999983,-41.97337273829864,-0.4539112863745771,27.0,45.0,81.0,653.0,1719.0
26,44.44474999999999,-23.833027280360596,50.854733859123726,27.0,45.0,81.0,653.0,1719.0
26,44.44474999999999,12.447663635515486,-0.4539112863745771,27.0,45.0,81.0,653.0,1719.0
27,5.623499999999979,-11.081536373814124,30.53525,28.0,47.0,141.0,687.0,1701.0
27,37.043499999999995,43.3395,30.53525,28.0,47.0,141.0,687.0,1701.0
27,68.46349999999998,-11.081536373814124,30.53525,28.0,47.0,141.0,687.0,1701.0
28,-17.705000000000016,-46.66888183175217,5.336338713625425,29.0,49.0,1328.0,1372.0,1404.0
28,13.714999999999993,-28.52853637381412,56.64498385912373,29.0,49.0,1328.0,1372.0,1404.0
28,45.135000000000005,25.8925,56.64498385912373,29.0,49.0,1328.0,1372.0,1404.0
29,-19.316750000000027,-11.33853637381413,-7.870733859123732,30.0,52.0,1459.0,1493.0,1513.0
29,12.103249999999974,6.801809084123917,43.43791128637457,30.0,52.0,1459.0,1493.0,1513.0
29,12.103249999999974,43.082499999999996,-7.870733859123732,30.0,52.0,1459.0,1493.0,1513.0
29,43.52324999999999,61.22284545793804,43.43791128637457,30.0,52.0,1459.0,1493.0,1513.0
29,43.523249999999976,-11.33853637381413,-7.870733859123732,30.0,52.0,1459.0,1493.0,1513.0
29,74.94324999999998,6.801809084123917,43.43791128637457,30.0,52.0,1459.0,1493.0,1513.0
29,74.94324999999998,43.082499999999996,-7.870733859123732,30.0,52.0,1459.0,1493.0,1513.0
30,-38.10200000000002,-35.43187273829864,-0.7101612863745856,31.0,56.0,81.0,575.0,965.0
30,-6.682000000000016,-17.29152728036059,50.59848385912372,31.0,56.0,81.0,575.0,965.0
30,-6.682000000000016,18.989163635515492,-0.7101612863745856,31.0,56.0,81.0,575.0,965.0
30,24.738,37.129509093453535,50.59848385912372,31.0,56.0,81.0,575.0,965.0
30,24.737999999999985,-35.43187273829864,-0.7101612863745856,31.0,56.0,81.0,575.0,965.0
30,56.157999999999994,-17.29152728036059,50.59848385912372,31.0,56.0,81.0,575.0,965.0
30,56.157999999999994,18.989163635515492,-0.7101612863745856,31.0,56.0,81.0,575.0,965.0
31,1.7697499999999877,-35.40312273829864,-0.8956612863745761,32.0,59.0,263.0,653.0,705.0
31,33.18975,-17.262777280360595,50.41298385912373,32.0,59.0,263.0,653.0,705.0
31,33.18975,19.017913635515487,-0.8956612863745761,32.0,59.0,263.0,653.0,705.0
32,13.224249999999984,-5.946354551391565,-14.312895145498302,33.0,60.0,291.0,473.0,863.0
32,44.64424999999999,12.193990906546482,36.99575,33.0,60.0,291.0,473.0,863.0
32,44.64424999999999,48.47468182242257,-14.312895145498302,33.0,60.0,291.0,473.0,863.0
33,13.27324999999999,-15.327622738298643,-0.6959112863745816,34.0,60.0,341.0,393.0,887.0
33,44.69325,2.812722719639403,50.61273385912372,34.0,60.0,341.0,393.0,887.0
33,44.69325,39.09341363551549,-0.6959112863745816,34.0,60.0,341.0,393.0,887.0
